age,sex,job,housing,saving_accounts,checking_account,credit_amount,duration,purpose,risk
54,male,3,rent,little,little,6777,48,radio/TV,bad
26,male,1,own,little,moderate,1755,12,education,good
29,male,2,own,little,unknown,654,12,radio/TV,good
23,male,3,own,moderate,moderate,7146,24,car,good
22,male,3,own,little,little,1129,12,education,bad
47,male,2,own,unknown,unknown,799,6,radio/TV,bad
44,female,2,own,little,moderate,1725,15,education,good
36,female,2,rent,little,moderate,3620,18,furniture/equipment,bad
45,male,2,own,little,moderate,1383,9,radio/TV,good
38,female,3,own,little,little,2465,18,furniture/equipment,bad
38,male,2,free,little,moderate,2406,12,car,bad
33,male,1,own,little,little,2377,15,radio/TV,bad
41,male,2,own,quite rich,moderate,5618,30,car,bad
25,male,2,own,little,moderate,1910,12,radio/TV,bad
37,male,1,free,unknown,little,1802,12,car,good
37,female,2,own,little,unknown,895,6,business,good
58,male,0,own,moderate,little,1256,9,radio/TV,bad
32,male,2,own,unknown,unknown,3401,12,car,good
42,female,2,rent,little,rich,743,6,furniture/equipment,bad
40,female,3,free,little,little,5732,36,business,bad
27,female,2,own,little,unknown,9220,72,car,bad
40,female,2,own,quite rich,moderate,5435,36,education,good
28,female,2,own,rich,unknown,767,6,furniture/equipment,good
36,male,2,own,little,unknown,1147,9,furniture/equipment,bad
19,male,2,own,moderate,unknown,1686,12,vacation/others,bad
30,male,3,rent,moderate,moderate,2643,24,radio/TV,bad
50,female,2,own,moderate,moderate,250,6,radio/TV,bad
32,female,2,own,little,moderate,2600,18,furniture/equipment,bad
37,male,2,own,unknown,unknown,2478,18,radio/TV,good
38,male,2,own,little,unknown,2173,12,furniture/equipment,bad
44,female,2,own,moderate,unknown,1722,6,business,good
33,female,2,own,rich,moderate,3201,24,business,good
38,male,2,own,unknown,moderate,2037,18,radio/TV,good
35,male,2,own,quite rich,unknown,3163,18,car,good
37,male,1,own,rich,unknown,3542,30,radio/TV,bad
28,male,3,own,little,unknown,2341,18,domestic appliances,good
38,male,2,own,little,little,2452,18,radio/TV,bad
37,male,3,own,unknown,little,2717,18,repairs,bad
63,male,2,own,moderate,rich,1515,9,business,good
46,male,1,free,unknown,unknown,1562,6,car,good
